timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
68719100,68718375,2490386,2490386,-1.2850508e-05,1.6856335e-05,1.912682e-05,0.00055030966,0.00026900234,-0.03895018,3955,3955,0,1,1
69217404,69216690,2490386,2490386,-7.088538e-06,2.1530552e-05,9.209417e-06,0.0004801174,-4.9803384e-06,-0.038882542,3954,3954,0,1,1
69719660,69718961,2490386,2490386,-2.1296313e-05,1.9052184e-06,1.4367556e-05,0.00059898087,2.8507116e-05,-0.03859495,3955,3955,0,1,1
70217979,70217276,2490386,2490386,-7.8098465e-06,2.411397e-05,1.0355284e-05,0.0009905761,0.0001135246,-0.03875284,3954,3954,0,1,1
70720267,70719547,2490386,2490386,-7.4962845e-06,1.5095201e-05,-2.438737e-05,0.00032534538,-7.058172e-05,-0.0385021,3955,3955,0,1,1
71214607,71213908,2490386,2490386,-3.9993915e-06,1.9984007e-05,3.3595094e-05,0.0009390654,0.00043713863,-0.038537014,3955,3955,0,1,1
71716910,71716179,2490386,2490386,-1.009273e-05,2.8415408e-05,-2.311307e-06,0.0012149042,3.7662732e-05,-0.039274096,3955,3955,0,1,1
72219161,72218452,2490386,2490386,-1.5584057e-05,6.407614e-07,-1.8910068e-05,0.0009925516,0.00027710243,-0.038657997,3956,3956,0,1,1
72717469,72716767,2490386,2490386,-1.106411e-05,1.2396722e-05,-3.7389843e-06,0.00027309352,-0.00055387616,-0.038399078,3955,3955,0,1,1
73219811,73219038,2490386,2490386,-1.13610495e-05,5.6069723e-05,-1.1447823e-05,0.0008990164,-8.8634715e-06,-0.039009612,3955,3955,0,1,1
73718072,73717355,2490386,2490386,-2.1761354e-05,-4.8537735e-05,-5.4337488e-05,0.0019819369,-7.4117415e-05,-0.038158864,3955,3955,0,1,1
74216484,74215672,2490386,2490386,1.2097002e-05,-7.928942e-06,-1.2486653e-05,0.0010082469,-0.0001871628,-0.038657974,3955,3955,0,1,1
74714695,74713988,2490386,2490386,-2.344875e-05,-3.9363395e-06,-7.128641e-05,0.00084397336,-0.0006330797,-0.03938936,3955,3955,0,1,1
75217017,75216260,2490386,2490386,-1.0892214e-05,1.9915076e-05,-1.0921711e-05,0.001267052,-0.00016858711,-0.038934972,3953,3953,0,1,1
75715295,75714577,2490386,2490386,-3.96777e-06,2.876734e-05,3.9690047e-05,0.0010047151,0.0002579517,-0.038786225,3955,3955,0,1,1
76217634,76216849,2490386,2490386,-1.6593674e-05,9.309107e-06,1.532943e-05,0.0010132896,0.0004453694,-0.038456433,3955,3955,0,1,1
76719832,76719121,2490386,2490386,-5.4795414e-06,3.3537715e-05,1.1933718e-05,0.0004023338,-0.0005355599,-0.038620055,3955,3955,0,1,1
77218133,77217438,2490386,2490386,-9.896294e-06,1.2697197e-05,1.68106e-05,0.0005539763,5.7451267e-05,-0.038403064,3955,3955,0,1,1
77720427,77719715,2490386,2490386,-1.1766605e-05,5.6608465e-06,1.2084944e-05,0.0006210729,-0.00012787487,-0.038671132,3956,3956,0,1,1
78214794,78214073,2490386,2490386,-4.6362884e-06,1.2255808e-05,1.9300893e-05,0.00066085206,2.4387384e-05,-0.03864296,3956,3956,0,1,1
78717051,78716345,2490386,2490386,-1.4965884e-05,1.0505094e-05,1.3781632e-05,0.00035586592,-3.7360667e-05,-0.038733378,3955,3955,0,1,1
79215396,79214662,2490386,2490386,-6.3619214e-06,2.0564617e-05,6.0673597e-06,0.0007807745,-5.1865794e-05,-0.038602952,3955,3955,0,1,1
79717676,79716934,2490386,2490386,-8.498462e-06,1.5999498e-05,1.5392328e-05,0.00062391337,3.3203269e-06,-0.038782246,3954,3954,0,1,1
80219923,80219207,2490386,2490386,-6.7192996e-06,1.0728734e-05,1.5156996e-05,0.00071920455,-8.255758e-07,-0.038728103,3955,3955,0,1,1
80718246,80717525,2490386,2490386,-1.2640881e-05,1.2583775e-05,1.1054292e-05,0.0006811051,-4.802326e-07,-0.038582645,3955,3955,0,1,1
81216579,81215843,2490386,2490386,-8.833087e-06,1.41803985e-05,1.7425235e-05,0.0007481319,0.00011996028,-0.038506594,3955,3955,0,1,1
81714882,81714161,2490386,2490386,-8.457982e-06,1.4227412e-05,8.932268e-06,0.0004711514,-5.0866834e-06,-0.038595952,3955,3955,0,1,1
82217195,82216434,2490386,2490386,-1.0320918e-05,9.370324e-06,1.5098813e-05,0.0006677663,-7.9242345e-06,-0.038428847,3955,3955,0,1,1
82715462,82714752,2490386,2490386,-5.9294412e-05,7.1520575e-05,-0.000155413,0.0018872992,-0.0013874038,-0.03920201,3955,3955,0,1,1
83217732,83217025,2490386,2490386,-1.1163401e-06,-0.00010246994,0.00016100319,0.0001410993,4.4534132e-05,-0.03889192,3955,3955,0,1,1
83720033,83719299,2490386,2490386,-1.04067885e-05,0.00012619735,-6.443968e-05,0.00024435675,-0.00028590296,-0.038628705,3956,3956,0,1,1
84218321,84217615,2490386,2490386,1.18501e-05,2.5420848e-05,-0.00028706406,0.002063003,-0.0010732552,-0.03829038,3954,3954,0,1,1
84720603,84719889,2490386,2490386,8.25691e-05,-0.00015992357,0.0001412912,0.00057327317,0.0008189615,-0.03854757,3955,3955,0,1,1
85214975,85214251,2490386,2490386,5.23056e-05,-7.671981e-05,0.00017458494,0.00056576845,0.0014050293,-0.03786437,3955,3955,0,1,1
85717236,85716524,2490386,2490386,-1.7577875e-05,-8.4596286e-05,0.00020130079,-0.0016954754,-0.00032892448,-0.036578067,3955,3955,0,1,1
86215562,86214842,2490386,2490386,1.2533939e-06,6.116998e-05,1.4221632e-05,0.000139256,0.00048201854,-0.038600873,3954,3954,0,1,1
86717816,86717116,2490386,2490386,3.0638175e-06,4.6958317e-05,-5.715795e-05,0.0005137001,0.00040770147,-0.038780276,3955,3955,0,1,1
